Gender,Interest,Moment,Book,TV,TS,Member,Sky,Parent,Teacher,Other,V21,Decision,Value,Budget,ShouldUse,Time,FreeTime,Encourage,Schools,Bring,PL,WriteA,WriteB,WriteBG,Planet,Event,Open,ExhibDev,NP,VAR00001,V65,Divers
1,1,1,1,0,0,0,0,0,0,0, ,4,5,1,2,2,6,1,0,0,1,1,0,1,0,1,1,0,0,0, ,5
1,2,1,0,0,0,0,0,0,0,1,Apollo 11,5,5,1,3,2,7,1,1,1,1,1,0,1,1,1,1,1,0,1,geocachers events,10
1,2,0,1,0,1,0,1,0,0,0, ,3,5,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0, ,2
1,4,0,0,0,0,0,0,0,0,0, ,99,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,tv,1
1,1,1,1,0,0,0,0,0,0,0, ,6,5,0,1,0,6,1,1,1,1,1,0,1,1,0,1,1,0,1,OAD initiatives - Vietnam Philippines,9
1,3,0,0,0,0,0,0,0,0,0, ,6,5,0,2,2,5,1,1,1,1,1,0,0,1,0,0,0,0,1,OAD activities,6
1,2,0,0,0,0,0,0,0,0,0, ,5,5,0,2,3,0,1,1,0,0,1,0,0,0,1,1,0,0,1,visiting communities in developing countries,5
1,2,1,0,1,0,0,0,0,0,0, ,3,5,5,99,2,0,99,0,0,0,0,0,0,0,1,0,0,0,0, ,1
1,1,1,0,0,0,0,0,0,1,0, ,6,5,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0, ,4
1,4,1,1,0,0,0,1,0,1,0, ,5,5,2,5,5,3,1,0,0,1,0,0,0,0,1,0,0,0,0, ,2
1,5,0,0,0,0,0,0,0,0,0, ,5,4,99,1,3,6,1,1,0,1,1,1,0,0,1,0,0,0,0, ,5
1,3,0,0,0,0,0,0,0,0,0, ,4,5,1,1,1,5,1,1,0,1,1,0,0,0,1,1,0,0,0, ,5
